post_id,title,slug,post_url,category,date,source_url,source_tar_path,source_size_mb,article_image,article_width,article_height,article_size_mb,thumb_image,thumb_width,thumb_height,thumb_size_mb
1769,Doček Nove u Kiti,docek-nove-u-kiti,novosti/docek-nove-u-kiti.html,Novosti,04.01.2018.,https://sovelebit.wordpress.com/wp-content/uploads/2018/01/zvonimir.jpg,2018/01/zvonimir.jpg,0.436,assets/legacy-wordpress-featured/2018/01/1769-docek-nove-u-kiti.webp,1200,1600,0.135,assets/legacy-wordpress-thumbs/2018/01/1769-docek-nove-u-kiti.webp,480,640,0.03
1754,Vikend u Zračku nade II,vikend-u-zracku-nade-ii,novosti/vikend-u-zracku-nade-ii.html,Novosti,17.12.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/12/6-curke-u-kastvu.jpg,2017/12/6-curke-u-kastvu.jpg,0.688,assets/legacy-wordpress-featured/2017/12/1754-vikend-u-zracku-nade-ii.webp,1008,1600,0.156,assets/legacy-wordpress-thumbs/2017/12/1754-vikend-u-zracku-nade-ii.webp,403,640,0.025
1704,128. istraživanje Kite iliti 34.282 m,128-istrazivanje-kite-iliti-34-282-m,novosti/128-istrazivanje-kite-iliti-34-282-m.html,Istraživanja,11.12.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/12/edo.jpg,2017/12/edo.jpg,0.019,assets/legacy-wordpress-featured/2017/12/1704-128-istrazivanje-kite-iliti-34-282-m.webp,294,314,0.012,assets/legacy-wordpress-thumbs/2017/12/1704-128-istrazivanje-kite-iliti-34-282-m.webp,294,314,0.009
1674,Kako smo se (dobro) proveli na Skupu speleologa 2017.,kako-smo-se-dobro-proveli-na-skupu-speleologa,novosti/kako-smo-se-dobro-proveli-na-skupu-speleologa.html,Novosti,29.11.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/11/ukrcaj-robe-i-putnika.jpg,2017/11/ukrcaj-robe-i-putnika.jpg,0.615,assets/legacy-wordpress-featured/2017/11/1674-kako-smo-se-dobro-proveli-na-skupu-speleologa.webp,1600,1200,0.241,assets/legacy-wordpress-thumbs/2017/11/1674-kako-smo-se-dobro-proveli-na-skupu-speleologa.webp,640,480,0.049
1648,Hrtići u Beogradu,hrtici-u-beogradu,novosti/hrtici-u-beogradu.html,Novosti,28.11.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/11/beogradskim-ulicama-a-bakc5a1ic487.jpg,2017/11/beogradskim-ulicama-a-bakc5a1ic487.jpg,0.607,assets/legacy-wordpress-featured/2017/11/1648-hrtici-u-beogradu.webp,1200,1600,0.203,assets/legacy-wordpress-thumbs/2017/11/1648-hrtici-u-beogradu.webp,480,640,0.034
1588,Bavarski dvorci na Velebitaški način,bavarski-dvorci-na-velebitaski,novosti/bavarski-dvorci-na-velebitaski.html,Putopisi,21.11.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/11/1-jezero-elbsee-d-c5a1panja.jpg,2017/11/1-jezero-elbsee-d-c5a1panja.jpg,0.583,assets/legacy-wordpress-featured/2017/11/1588-bavarski-dvorci-na-velebitaski.webp,1600,899,0.248,assets/legacy-wordpress-thumbs/2017/11/1588-bavarski-dvorci-na-velebitaski.webp,640,359,0.033
1571,Svi putevi vode u Burinku,svi-putevi-vode-u-burinku,novosti/svi-putevi-vode-u-burinku.html,Novosti,08.11.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/11/dscn3114.jpg,2017/11/dscn3114.jpg,0.747,assets/legacy-wordpress-featured/2017/11/1571-svi-putevi-vode-u-burinku.webp,1600,1200,0.148,assets/legacy-wordpress-thumbs/2017/11/1571-svi-putevi-vode-u-burinku.webp,640,480,0.02
1503,Tri gracije u bočnom kanalu,tri-gracije-u-bocnom-kanalu,novosti/tri-gracije-u-bocnom-kanalu.html,Istraživanja,30.10.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/10/adios-jesenski-pogled-iz-amfiteatra-d-c5a1panja.jpg?w=225,2017/10/adios-jesenski-pogled-iz-amfiteatra-d-c5a1panja.jpg,0.759,assets/legacy-wordpress-featured/2017/10/1503-tri-gracije-u-bocnom-kanalu.webp,1200,1600,0.331,assets/legacy-wordpress-thumbs/2017/10/1503-tri-gracije-u-bocnom-kanalu.webp,480,640,0.045
1473,"""Usrani"" izlet u Đulu-Medvedicu",usrani-izlet-u-dulu-medvedicu,novosti/usrani-izlet-u-dulu-medvedicu.html,Novosti,29.10.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/10/gimlijev-prolaz.jpg,2017/10/gimlijev-prolaz.jpg,0.475,assets/legacy-wordpress-featured/2017/10/1473-usrani-izlet-u-dulu-medvedicu.webp,1600,1200,0.173,assets/legacy-wordpress-thumbs/2017/10/1473-usrani-izlet-u-dulu-medvedicu.webp,640,480,0.037
1433,Nas tri same,nas-tri-same,novosti/nas-tri-same.html,Istraživanja,24.10.2017.,https://sovelebit.wordpress.com/wp-content/uploads/2017/10/norvec5beanka-ana-bakc5a1ic487.jpg?w=225,2017/10/norvec5beanka-ana-bakc5a1ic487.jpg,0.864,assets/legacy-wordpress-featured/2017/10/1433-nas-tri-same.webp,1200,1600,0.411,assets/legacy-wordpress-thumbs/2017/10/1433-nas-tri-same.webp,480,640,0.07
